Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
WILDFLOWER FOUNDATION INC,27-0406313,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3605149.0,6189255.0,
KVC BEHAVIORAL HEALTHCARE NEBRASKA INC,27-0408957,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,13055047.0,12516147.0,538900.0
FRIENDS OF CHIKUMBUSO INC,27-0414264,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,530025.0,345970.0,184055.0
GRACE CLINICS OF OHIO INC,27-0415624,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,814532.0,695852.0,118680.0
STERLING DONOR ADVISED FUND,27-0418124,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3886730.0,2268983.0,1617747.0
COALITION FOR COMPASSIONATE CARE OF CALIFORNIA,27-0419836,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,1178854.0,1018108.0,160746.0
VNU FOUNDATION,27-0424698,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,634697.0,290518.0,344179.0
PLUTA CANCER CENTER FOUNDATION INC,27-0425383,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,1135116.0,624583.0,510533.0
COMMUNITY EMPOWERMENT FUND,27-0428981,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,1099843.0,923933.0,175910.0
RJM CAMPBELL FAMILY FOUNDATION,27-0429976,"Named Trusts/Foundations N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,12021573.0,7594667.0,
COMMUNITY FOUNDATION OF NORTHWEST MISSOURI,27-0436182,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,7194672.0,2183955.0,5010717.0
STONE FOUNDATION OF MICHIGAN,27-0439220,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1693855.0,547592.0,
STERLING HEALTH SOLUTIONS INC,27-0439902,Hospitals and Related Primary Medical Care Facilities (Health — General and Rehabilitative),Yes,2020.0,13531321.0,13140133.0,391188.0
LUBBOCK LIGHTHOUSE,27-0445167,"Alcohol, Drug and Substance Abuse, Dependency Prevention and Treatment (Mental Health, Crisis Intervention)",Yes,2020.0,718014.0,613644.0,104370.0
JUDEVINE INC,27-0445486,"Autism (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,8855473.0,8426587.0,428886.0
FDP FOUNDATION,27-0451666,"Management & Technical Assistance (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,849547.0,444038.0,405509.0
JERRY C DEARING FAMILY FOUNDATION,27-0454228,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1809270.0,3486511.0,
PULITZER CENTER ON CRISIS REPORTING,27-0458242,"Research Institutes and/or Public Policy Analysis (Public, Society Benefit — Multipurpose and Other)",Yes,2020.0,10056988.0,5486296.0,4570692.0
AUTISM ALLIANCE OF MICHIGAN,27-0472137,"Autism (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,3777970.0,3329241.0,448729.0
MERCY CLINIC OKLAHOMA COMMUNITIES,27-0473057,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,159524064.0,232802620.0,
SCHOLARS STRATEGY NETWORK,27-0480740,"Political Science (Social Science Research Institutes, Services)",Yes,2020.0,3771995.0,2231390.0,1540605.0
THE BUTTERFLY FOUNDATION,27-0483016,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Yes,2020.0,531088.0,109007.0,422081.0
MOISE Y SAFRA FOUNDATION INC,27-0521354,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4160111.0,7214636.0,
CARE CLINIC,27-0540451,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,950383.0,803662.0,146721.0
METRO CRISIS SERVICES INC,27-0544143,"Hot Line, Crisis Intervention Services (Mental Health, Crisis Intervention)",Yes,2020.0,6873959.0,6158679.0,715280.0
HEALTHY ACADIA,27-0548057,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,3918160.0,3711331.0,206829.0
LIVINGSTON HOSPITAL FOUNDATION INC,27-0556814,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,847874.0,85597.0,762277.0
GLOBAL KNOWLEDGE INITIATIVE,27-0559519,Research Institutes and/or Public Policy Analysis (Educational Institutions and Related Activities),Yes,2020.0,1189583.0,1314579.0,
WILLOWCROFT FOUNDATION,27-0560959,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,597479.0,46564.0,
GREG CARR FOUNDATION INC,27-0564755,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,11248432.0,7829450.0,
AMERICAN ACTION FORUM INC,27-0567765,"Research Institutes and/or Public Policy Analysis (Social Science Research Institutes, Services)",Yes,2020.0,3816783.0,3797757.0,19026.0
MARY K OXLEY FOUNDATION,27-0577885,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,884160.0,1645345.0,
YOT FULL CIRCLE FOUNDATION,27-0578014,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,979599.0,1871031.0,
PUBLIC RELIGION RESEARCH INSTITUTE,27-0586980,"Research Institutes and/or Public Policy Analysis (Religion-Related, Spiritual Development)",Yes,2020.0,2074401.0,1867832.0,206569.0
CAMARADERIE FOUNDATION INC,27-0593856,"Counseling, Support Groups (Mental Health, Crisis Intervention)",Yes,2020.0,1159142.0,994069.0,165073.0
UNIVERSAL COMMUNITY HEALTH CENTER,27-0600887,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,7332030.0,6120516.0,1211514.0
MCFADDEN FOUNDATION INC,27-0601149,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1168271.0,712208.0,
JEANNE M MITHUN FOUNDATION,27-0604387,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1419032.0,145396.0,
GESSNER FAMILY FOUNDATION,27-0609120,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,6776154.0,1369640.0,
HUMC CARDIOVASCULAR PARTNERS PC,27-0614861,"Heart and Circulatory System Diseases, Disorders (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,49930077.0,49930075.0,2.0
RAPE ADVOCACY COUNSELING & EDUCATION SERVICES,27-0615591,"Rape Victim Services (Mental Health, Crisis Intervention)",Yes,2021.0,678032.0,664905.0,13127.0
PIEDMONT REGIONAL DENTAL CLINIC INC,27-0625764,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2021.0,1113583.0,912237.0,201346.0
AMY FEINSTEIN FOUNDATION INC,27-0629770,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1961232.0,139300.0,
FOUNDATIONAL QUESTIONS INSTITUTE,27-0632031,"Private Operating Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,4881011.0,4948487.0,
BEACON ORTHOPAEDIC RESEARCH & EDUCATION FOUNDATION,27-0643210,"Nerve, Muscle, Bone Research (Medical Research)",Yes,2020.0,809257.0,478142.0,331115.0
BODY OF CHRIST COMMUNITY CLINIC INC,27-0645782,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,570067.0,576505.0,
HYPERTHERM HOPE FOUNDATION,27-0646326,"Corporate Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,827484.0,843784.0,
BEE BUSY WELLNESS CENTER,27-0653014,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,4439654.0,3610541.0,829113.0
SANDRA SHAHINIAN LEITNER CHARITABLE TRUST,27-0653520,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,819857.0,1240938.0,
MMV MEDICINES FOR MALARIA VENTURE NORTH AMERICA INC,27-0670085,Medical Specialty Research (Medical Research),Yes,2020.0,500911.0,607225.0,
DEEP WITHIN REHAB CENTER INC,27-0697636,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,590064.0,481916.0,108148.0
AUTISTRY STUDIOS,27-0699071,"Patient Services - Entertainment, Recreation (Health — General and Rehabilitative)",Yes,2020.0,1049815.0,840316.0,209499.0
BRAVE HEART FOUNDATION INC,27-0720856,"Philanthropy, Charity, Voluntarism Promotion, General (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1417142.0,725553.0,
TAUCK FAMILY FOUNDATION INC,27-0729341,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1244610.0,1282277.0,
CASA DE SALUD,27-0732049,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,1718413.0,1636048.0,82365.0
AAA COMPREHENSIVE HEALTHCARE INC,27-0735908,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,3149221.0,2177818.0,971403.0
J & C NETWORK RESOURCE CENTER INC,27-0741833,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2021.0,1509090.0,624167.0,884923.0
LAW ENFORCEMENT UNITED INC,27-0743821,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,691486.0,716608.0,
PECAN STREET INC,27-0744614,"Research Institutes and/or Public Policy Analysis (Environmental Quality, Protection and Beautification )",Yes,2020.0,2167386.0,2144046.0,23340.0
VIBRANT VILLAGE FOUNDATION,27-0745672,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,6357675.0,4812377.0,
THE EMMA ALYSON & KATE HANCE FAMILY FOUNDATION INC,27-0752188,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,605771.0,425734.0,180037.0
FIRSTMED HEALTH AND WELLNESS CENTER,27-0759056,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,10904097.0,11126331.0,
EDWARD AND MARY LORD FOUNDATION,27-0785866,"Nonmonetary Support N.E.C. (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1354038.0,1169597.0,
KVC BEHAVIORAL HEALTHCARE KENTUCKY INC,27-0795565,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,14934637.0,15533093.0,
RECOVERYPEOPLE,27-0804939,"Alcohol, Drug Abuse, Treatment Only (Mental Health, Crisis Intervention)",Yes,2020.0,556299.0,439399.0,116900.0
ARMS WIDE OPEN CHILDHOOD CANCER FOUNDATION,27-0811733,Cancer Research (Medical Research),Yes,2020.0,846965.0,801653.0,45312.0
TENNESSEE KIDNEY FOUNDATION INC,27-0812507,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2021.0,698038.0,762598.0,
HARLEM PARK TO PARK INITIATIVE,27-0812660,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,746023.0,684179.0,61844.0
HAMILTON PARTNERSHIP FOR PATERSON INC,27-0826275,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2020.0,537747.0,528653.0,9094.0
ROADS TO RECOVERY,27-0826420,"Management & Technical Assistance (Mental Health, Crisis Intervention)",Yes,2020.0,619831.0,489837.0,129994.0
SOUTHWEST LOUISIANA HOSPITAL ASSOCIATION FOUNDATION INC,27-0833927,Single Organization Support (Health — General and Rehabilitative),Yes,2020.0,720830.0,970853.0,
BELMONT DISTRICT MANAGEMENT ASSOCIATION INC,27-0834463,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2021.0,594674.0,530655.0,64019.0
AMOS HEALTH AND HOPE INC,27-0837989,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,1086473.0,907680.0,178793.0
POETICE,27-0842642,"Fund Raising and/or Fund Distribution (Diseases, Disorders, Medical Disciplines)",Yes,2020.0,968402.0,778876.0,189526.0
RECEPTIONS FOR RESEARCH - THE GREG OLSEN FOUNDATION INC,27-0843891,Fund Raising and/or Fund Distribution (Medical Research),Yes,2020.0,553897.0,115816.0,438081.0
2A FOUNDATION INC,27-0846607,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,15475798.0,3082382.0,
PRIORITY HEALTH CARE,27-0846901,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,7124559.0,5868091.0,1256468.0
OHIO HEALTH INFORMATION PARTNERSHIP LLC,27-0851935,Health Support Services (Health — General and Rehabilitative),Yes,2020.0,7196816.0,6958405.0,238411.0
Y&C CHARITABLE FOUNDATION,27-0852282,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,773360.0,176538.0,
STIEFEL FREETHOUGHT FOUNDATION,27-0858715,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1188597.0,1075437.0,
DARREN STAR FOUNDATION,27-0858748,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,544064.0,155926.0,
SOONEVERSE INC,27-0859143,Management & Technical Assistance (Health — General and Rehabilitative),Yes,2020.0,787472.0,954284.0,
CALIFORNIA INDIAN ENVIRONMENTAL ALLIANCE,27-0861293,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,819055.0,691122.0,127933.0
CAPRARO FAMILY FOUNDATION,27-0863044,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1157891.0,1216195.0,
HAROLD C AND MARILYN A HOHBACH FOUNDATION,27-0864414,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,12111441.0,5401127.0,
CHENEVERT FAMILY FOUNDATION INC,27-0886303,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,2356406.0,427788.0,
TUCKERS HOUSE,27-0896877,"Homemaker, Home Health Aide (Human Services — Multipurpose and Other)",Yes,2020.0,617490.0,605590.0,11900.0
WELLMONT MEDICAL ASSOCIATES INC,27-0898372,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,123355433.0,123556123.0,
NEW CHOICE INTERVENTION INC,27-0899895,"Mental Health Treatment - Multipurpose and N.E.C. (Mental Health, Crisis Intervention)",Yes,2020.0,1379764.0,843127.0,536637.0
HANDS TO HANDS COMMUNITY FUND,27-0907188,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1596023.0,620811.0,975212.0
EPISCOPAL HOME CARE AND SERVICES,27-0907277,"Nursing, Convalescent Facilities (Health — General and Rehabilitative)",Yes,2020.0,13324399.0,12853863.0,470536.0
CAPITAL FOR GOOD USA,27-0915757,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,11758257.0,7378365.0,4379892.0
FRANK J MASLOWSKI AND ELEANOR A MASLOWSKI CHARITABLE TRUST,27-0915939,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,598840.0,1092302.0,
CENTER FOR ASSESSMENT AND TREATMENT A NEW JERSEY NON-PROFIT CORPORATI,27-0922804,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1545331.0,1194699.0,350632.0
DRAVET SYNDROME FOUNDATION INC,27-0924627,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1964117.0,921735.0,1042382.0
MICHAEL AND KARYN LUTZ FAMILY FOUNDATION,27-0935543,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,601791.0,826445.0,
LEBERMANN FOUNDATION,27-0941196,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,820803.0,888329.0,
LIVINGSTONE COMMUNITY DEVELOPMENT CORPORATION,27-0947808,"Health Treatment Facilities, Primarily Outpatient (Health — General and Rehabilitative)",Yes,2020.0,2293297.0,1231275.0,1062022.0
INTERNATIONAL FOUNDATION FOR CDKL5 RESEARCH,27-0950477,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,635334.0,699706.0,
HOWARD GREENFIELD CHARITABLE FOUNDATION INC,27-0951868,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,841407.0,1581472.0,
ST PAUL CHILDRENS MEDICAL CORPORATION,27-0954405,"Ambulatory Health Center, Community Clinic (Health — General and Rehabilitative)",Yes,2020.0,1550304.0,1410317.0,139987.0
OTHERS FIRST INC,27-0958079,"Fund Raising and/or Fund Distribution (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,9459607.0,8909618.0,549989.0
LATINO LEADERSHIP COUNCIL,27-0970476,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,903744.0,847681.0,56063.0
LAKESHORE COMMUNITY FOUNDATION INC,27-0978059,"Community Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,5804864.0,1745009.0,4059855.0
WELLSPRING COUNSELING INC,27-0979279,"Counseling, Support Groups (Mental Health, Crisis Intervention)",Yes,2020.0,1291044.0,1141843.0,149201.0
GENYOUTH INC,27-0988546,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,17347058.0,19480607.0,
HEALTH LITERACY MISSOURI,27-1010875,Public Health Program (Includes General Health and Wellness Promotion Services) (Health — General and Rehabilitative),Yes,2020.0,1668521.0,1470805.0,
UNIVERSAL SUNLIGHT FOUNDATION,27-1016751,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,24469224.0,1768728.0,
THE NELL J REDFIELD FOUNDATION,27-1017158,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3132803.0,5626891.0,
CENTER FOR HEALTHCARE RESEARCH & TRANSFORMATION,27-1017827,Medical Research N.E.C.,Yes,2020.0,3946847.0,3880722.0,66125.0
INTELLIGENCE SQUARED US FOUNDATION,27-1022579,"Social Science Institutes, Services (Social Science Research Institutes, Services)",Yes,2020.0,3439663.0,3237571.0,202092.0
STULTZ FOUNDATION,27-1024255,"Private Grantmaking Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,1280000.0,1256249.0,
LYON COUNTY RIVERBOAT FOUNDATION INC,27-1024697,"Public Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",No,2020.0,2031454.0,1323720.0,707734.0
EDMUND J & ESTELLE D WALKER CHARITABLE TRUST,27-1036148,"Private Independent Foundations (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,545897.0,890984.0,
CRUTCHES 4 KIDS INC,27-1039186,Rehabilitative Medical Services (Health — General and Rehabilitative),Yes,2020.0,1096789.0,830948.0,265841.0
YEHUDA AND ANNE NEUBERGER FOUNDATION INC,27-1040796,"Single Organization Support (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,880939.0,1178536.0,
GUIDESTREAM CHARITABLE GIFT FUND,27-1040922,"Fund Raising Organizations That Cross Categories (Philanthropy, Voluntarism and Grantmaking Foundations)",Yes,2020.0,3502791.0,1712270.0,1790521.0
